"","Country","Year","Hepatitis B"
"1","Angola",2015,64
"2","Angola",2014,64
"3","Angola",2013,77
"4","Angola",2012,75
"5","Angola",2011,72
"6","Angola",2010,77
"7","Angola",2009,61
"8","Angola",2008,69
"9","Angola",2007,73
"10","Angola",2006,70
"11","Angola",2005,69
"12","Angola",2004,65
"13","Angola",2003,71
"14","Angola",2002,63
"15","Angola",2001,65
"16","Angola",2000,66
"17","Australia",2015,93
"18","Australia",2014,91
"19","Australia",2013,91
"20","Australia",2012,91
"21","Australia",2011,92
"22","Australia",2010,92
"23","Australia",2009,94
"24","Australia",2008,94
"25","Australia",2007,94
"26","Australia",2006,95
"27","Australia",2005,95
"28","Australia",2004,95
"29","Australia",2003,95
"30","Australia",2002,95
"31","Australia",2001,94
"32","Australia",2000,94
"33","Canada",2015,55
"34","Canada",2014,55
"35","Canada",2013,55
"36","Canada",2012,7
"37","Canada",2011,7
"38","Canada",2010,56
"39","Canada",2009,42
"40","Canada",2008,28
"41","Canada",2007,14
"42","Canada",2006,14
"43","Canada",2005,14
"44","Canada",2004,14
"45","Canada",2003,14
"46","Canada",2002,15
"47","Canada",2001,13
"48","Canada",2000,13
"49","Chad",2015,46
"50","Chad",2014,37
"51","Chad",2013,39
"52","Chad",2012,4
"53","Chad",2011,33
"54","Chad",2010,39
"55","Chad",2009,24
"56","Chad",2008,17
"57","Chad",2007,25
"58","Chad",2006,27
"59","Chad",2005,28
"60","Chad",2004,20
"61","Chad",2003,17
"62","Chad",2002,18
"63","Chad",2001,20
"64","Chad",2000,18
"65","France",2015,86
"66","France",2014,83
"67","France",2013,74
"68","France",2012,78
"69","France",2011,74
"70","France",2010,65
"71","France",2009,51
"72","France",2008,47
"73","France",2007,42
"74","France",2006,39
"75","France",2005,35
"76","France",2004,35
"77","France",2003,28
"78","France",2002,29
"79","France",2001,28
"80","France",2000,26
"81","Italy",2015,93
"82","Italy",2014,95
"83","Italy",2013,96
"84","Italy",2012,96
"85","Italy",2011,96
"86","Italy",2010,96
"87","Italy",2009,96
"88","Italy",2008,96
"89","Italy",2007,97
"90","Italy",2006,96
"91","Italy",2005,96
"92","Italy",2004,96
"93","Italy",2003,95
"94","Italy",2002,95
"95","Italy",2001,95
"96","Italy",2000,94
"97","Lesotho",2015,93
"98","Lesotho",2014,93
"99","Lesotho",2013,93
"100","Lesotho",2012,95
"101","Lesotho",2011,96
"102","Lesotho",2010,93
"103","Lesotho",2009,91
"104","Lesotho",2008,88
"105","Lesotho",2007,9
"106","Lesotho",2006,91
"107","Lesotho",2005,87
"108","Lesotho",2004,6
"109","Lesotho",2003,17
"110","Lesotho",2002,8
"111","Lesotho",2001,10
"112","Lesotho",2000,9
"113","Nigeria",2015,49
"114","Nigeria",2014,49
"115","Nigeria",2013,46
"116","Nigeria",2012,42
"117","Nigeria",2011,46
"118","Nigeria",2010,49
"119","Nigeria",2009,63
"120","Nigeria",2008,41
"121","Nigeria",2007,42
"122","Nigeria",2006,27
"123","Nigeria",2005,18
"124","Nigeria",2004,20
"125","Nigeria",2003,22
"126","Nigeria",2002,18
"127","Nigeria",2001,19
"128","Nigeria",2000,20
"129","Sierra Leone",2015,86
"130","Sierra Leone",2014,83
"131","Sierra Leone",2013,92
"132","Sierra Leone",2012,91
"133","Sierra Leone",2011,89
"134","Sierra Leone",2010,86
"135","Sierra Leone",2009,84
"136","Sierra Leone",2008,77
"137","Sierra Leone",2007,63
"138","Sierra Leone",2006,70
"139","Sierra Leone",2005,67
"140","Sierra Leone",2004,68
"141","Sierra Leone",2003,70
"142","Sierra Leone",2002,72
"143","Sierra Leone",2001,69
"144","Sierra Leone",2000,67
"145","Spain",2015,97
"146","Spain",2014,96
"147","Spain",2013,95
"148","Spain",2012,96
"149","Spain",2011,97
"150","Spain",2010,97
"151","Spain",2009,96
"152","Spain",2008,97
"153","Spain",2007,96
"154","Spain",2006,97
"155","Spain",2005,96
"156","Spain",2004,97
"157","Spain",2003,81
"158","Spain",2002,82
"159","Spain",2001,83
"160","Spain",2000,77
