"","Country","Year","Total.expenditure"
"50","Angola",2014,3.31
"64","Angola",2000,2.79
"514","Central African Republic",2014,4.2
"528","Central African Republic",2000,4.24
"932","France",2014,11.54
"946","France",2000,9.77
"1172","Iceland",2014,8.86
"1186","Iceland",2000,9.28
"1316","Japan",2014,1.23
"1330","Japan",2000,7.53
"1476","Lesotho",2014,1.62
"1490","Lesotho",2000,6.92
"1572","Malawi",2014,11.38
"1586","Malawi",2000,6.7
"2299","Sierra Leone",2014,11.9
"2313","Sierra Leone",2000,13.63
"2507","Sweden",2014,11.93
"2521","Sweden",2000,8.18
"2523","Switzerland",2014,11.66
"2537","Switzerland",2000,9.91
